instance_id,user_query,used_gold_tables,used_gold_joins,used_predicted_tables_cols,used_predicted_tables_cols_raw,used_external_knowledge,model,examples_used,predicted_cte_briefs,raw_output,example_selection,timestamp
bq011,"How many distinct pseudo users had positive engagement time  in the 7-day period ending on January 7, 2021 at 23:59:59, but had no positive engagement time in the 2-day period ending on the same date (January 7, 2021 at 23:59:59) ?",false,false,false,false,false,azure/o3,"local310,local194,local059,local021",seven_day_users: distinct pseudo users with positive engagement Jan 1–7 2021 inclusive; two_day_users: distinct pseudo users with positive engagement Jan 6–7 2021 inclusive; qualified_users: users in seven_day_users not in two_day_users; user_count: counts qualified_users,seven_day_users: distinct pseudo users with positive engagement Jan 1–7 2021 inclusive; two_day_users: distinct pseudo users with positive engagement Jan 6–7 2021 inclusive; qualified_users: users in seven_day_users not in two_day_users; user_count: counts qualified_users,"{""target_db"": ""ga4"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local310,local194,local059,local021""}",2025-10-31T09:36:24
bq010,"Find the top-selling product among customers who bought 'Youtube Men’s Vintage Henley' in July 2017, excluding itself.",false,false,false,false,true,azure/o3,"local201,local067,local311,local329","july_items: extracts July 2017 purchased items with fullVisitorId, v2ProductName, quantity, revenue; target_buyers: distinct fullVisitorId who bought 'Youtube Men’s Vintage Henley' in July 2017; buyer_items: july_items filtered to target_buyers; other_items: buyer_items excluding 'Youtube Men’s Vintage Henley'; product_totals: aggregates quantity and revenue per product from other_items; top_product: selects highest revenue product from product_totals","july_items: extracts July 2017 purchased items with fullVisitorId, v2ProductName, quantity, revenue; target_buyers: distinct fullVisitorId who bought 'Youtube Men’s Vintage Henley' in July 2017; buyer_items: july_items filtered to target_buyers; other_items: buyer_items excluding 'Youtube Men’s Vintage Henley'; product_totals: aggregates quantity and revenue per product from other_items; top_product: selects highest revenue product from product_totals","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local201,local067,local311,local329""}",2025-10-31T09:36:42
bq009,"Which traffic source has the highest total transaction revenue for the year 2017, and what is the difference in millions (rounded to two decimal places) between the highest and lowest monthly total transaction revenue for that traffic source?",false,false,false,false,true,azure/o3,"local015,local244,local219,local199","filtered_sessions: 2017 sessions with non-null totals.totalTransactionRevenue, keeping date, month, trafficSource.source, revenue; source_totals: sum 2017 revenue per source, add rank descending; best_source: select source with rank 1 from source_totals; monthly_totals: aggregate revenue by month for best_source; revenue_range: compute max and min monthly revenue and their difference in millions rounded to two decimals","filtered_sessions: 2017 sessions with non-null totals.totalTransactionRevenue, keeping date, month, trafficSource.source, revenue; source_totals: sum 2017 revenue per source, add rank descending; best_source: select source with rank 1 from source_totals; monthly_totals: aggregate revenue by month for best_source; revenue_range: compute max and min monthly revenue and their difference in millions rounded to two decimals","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local015,local244,local219,local199""}",2025-10-31T09:36:51
bq001,"For each visitor who made at least one transaction in February 2017, how many days elapsed between the date of their first visit in February and the date of their first transaction in February, and on what type of device did they make that first transaction?",false,false,false,false,true,azure/o3,"local066,local075,local228,local037","feb_sessions: selects Feb 2017 sessions with visitor id, visitStartTime, date, transactions count, device category; first_visits: earliest Feb session date per visitor; first_transactions: earliest Feb transaction session per visitor capturing device category; visitor_gap: joins first_visits and first_transactions to compute days between first visit and first transaction","feb_sessions: selects Feb 2017 sessions with visitor id, visitStartTime, date, transactions count, device category; first_visits: earliest Feb session date per visitor; first_transactions: earliest Feb transaction session per visitor capturing device category; visitor_gap: joins first_visits and first_transactions to compute days between first visit and first transaction","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local066,local075,local228,local037""}",2025-10-31T09:37:09
bq002,"During the first half of 2017,  focusing on hits product revenue, which traffic source generated the highest total product revenue, and what were the maximum daily, weekly, and monthly product revenues (in millions) for that top-performing source over this period?",false,false,false,false,true,azure/o3,"local253,local141,local301,local130","exploded_products: extract date, traffic_source, product revenue (millions) from product hits Jan–Jun 2017; source_totals: sum revenue per traffic source to find totals; top_source: pick source with highest total revenue; period_sums: aggregate top source revenue by day, week, and month with period_type labels; max_revenue_by_period: return maximum revenue per period_type for final output","exploded_products: extract date, traffic_source, product revenue (millions) from product hits Jan–Jun 2017; source_totals: sum revenue per traffic source to find totals; top_source: pick source with highest total revenue; period_sums: aggregate top source revenue by day, week, and month with period_type labels; max_revenue_by_period: return maximum revenue per period_type for final output","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local253,local141,local301,local130""}",2025-10-31T09:37:31
bq003,"Between April 1 and July 31 of 2017, using the hits product revenue data along with the totals transactions to classify sessions as purchase (transactions ≥ 1 and productRevenue not null) or non-purchase (transactions null and productRevenue null), compare the average pageviews per visitor for each group by month",false,false,false,false,true,azure/o3,"local141,local244,local060,local075","sessions_in_range: selects sessions 2017-04-01 to 2017-07-31 with visitor id, month, pageviews, transactions; session_product_rev: sums hits.product.productRevenue per session in range; classified_sessions: joins sessions and revenue, labels purchase vs non_purchase; visitor_totals: aggregates total pageviews per visitor, month, purchase_flag; monthly_avg_pageviews: computes average visitor pageviews by month and purchase_flag","sessions_in_range: selects sessions 2017-04-01 to 2017-07-31 with visitor id, month, pageviews, transactions; session_product_rev: sums hits.product.productRevenue per session in range; classified_sessions: joins sessions and revenue, labels purchase vs non_purchase; visitor_totals: aggregates total pageviews per visitor, month, purchase_flag; monthly_avg_pageviews: computes average visitor pageviews by month and purchase_flag","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local141,local244,local060,local075""}",2025-10-31T09:38:00
bq004,"In July 2017, among all visitors who bought any YouTube-related product, which distinct product—excluding those containing ‘YouTube’ in the product name—had the highest total quantity purchased?",false,false,false,false,true,azure/o3,"local199,local310,local311,local023","july_items: extracts July 2017 ITEM hits with fullVisitorId, product_name, item_quantity; youtube_buyers: finds distinct visitors in july_items where product_name ILIKE '%YouTube%'; filtered_items: keeps july_items rows not containing 'YouTube' and belonging to youtube_buyers; product_totals: sums item_quantity per product_name within filtered_items; top_product: selects product_name with highest total_quantity from product_totals","july_items: extracts July 2017 ITEM hits with fullVisitorId, product_name, item_quantity; youtube_buyers: finds distinct visitors in july_items where product_name ILIKE '%YouTube%'; filtered_items: keeps july_items rows not containing 'YouTube' and belonging to youtube_buyers; product_totals: sums item_quantity per product_name within filtered_items; top_product: selects product_name with highest total_quantity from product_totals","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local199,local310,local311,local023""}",2025-10-31T09:38:17
bq008,"In January 2017, among visitors whose campaign name contains 'Data Share' and who accessed any page starting with '/home', which page did they most commonly visit next, and what is the maximum time (in seconds) they spent on the '/home' page before moving on?",false,false,false,false,true,azure/o3,"local311,local037,local077,local310","campaign_sessions: January 2017 sessions whose trafficSource.campaign contains 'Data Share'; home_hits: pageview hits within campaign_sessions where pagePath starts with '/home', with hit order and time; transitions: adds next pageview path and seconds spent until next hit within same session; next_page_stats: counts transitions per next page and records max seconds_on_home; most_common_next: selects next page with highest transition count along with max seconds_on_home","campaign_sessions: January 2017 sessions whose trafficSource.campaign contains 'Data Share'; home_hits: pageview hits within campaign_sessions where pagePath starts with '/home', with hit order and time; transitions: adds next pageview path and seconds spent until next hit within same session; next_page_stats: counts transitions per next page and records max seconds_on_home; most_common_next: selects next page with highest transition count along with max seconds_on_home","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local311,local037,local077,local310""}",2025-10-31T09:38:35
bq269,"Between June 1, 2017, and July 31, 2017, consider only sessions that have non-null pageviews. Classify each session as ‘purchase’ if it has at least one transaction, or ‘non_purchase’ otherwise. For each month, sum each visitor’s total pageviews under each classification, then compute the average pageviews per visitor for both purchase and non-purchase groups in each month, and present the results side by side.",false,false,false,false,false,azure/o3,"local264,local026,local067,local015","filtered_sessions: selects sessions dated 2017-06-01 to 2017-07-31 with pageviews not null; classified_sessions: labels each session as 'purchase' if transactions>0 else 'non_purchase'; visitor_monthly_views: aggregates total pageviews per visitor, month, and purchase_flag; monthly_avg_views: computes average pageviews across visitors for each month and purchase_flag; pivot_avgs: reshapes monthly averages into side-by-side purchase and non_purchase columns","filtered_sessions: selects sessions dated 2017-06-01 to 2017-07-31 with pageviews not null; classified_sessions: labels each session as 'purchase' if transactions>0 else 'non_purchase'; visitor_monthly_views: aggregates total pageviews per visitor, month, and purchase_flag; monthly_avg_views: computes average pageviews across visitors for each month and purchase_flag; pivot_avgs: reshapes monthly averages into side-by-side purchase and non_purchase columns","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local264,local026,local067,local015""}",2025-10-31T09:38:47
bq268,"Identify the longest number of days between the first visit and the last recorded event (either the last visit or the first transaction) for a user, where the last recorded event is associated with a mobile device. The last recorded event could either be the last visit or the first transaction, and you should focus on users whose last recorded event occurred on a mobile device.",false,false,false,false,false,azure/o3,"local196,local311,local157,local253","first_visit_dates: earliest visit date per user; last_visit_mobile: most recent visit date per user on mobile; first_txn_mobile: earliest transaction date per user on mobile; user_last_event: selects later of mobile last visit or first mobile transaction per user; day_gap: calculates days between first visit and chosen last event, preparing for max search","first_visit_dates: earliest visit date per user; last_visit_mobile: most recent visit date per user on mobile; first_txn_mobile: earliest transaction date per user on mobile; user_last_event: selects later of mobile last visit or first mobile transaction per user; day_gap: calculates days between first visit and chosen last event, preparing for max search","{""target_db"": ""ga360"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local196,local311,local157,local253""}",2025-10-31T09:39:04
