instance_id,user_query,used_gold_tables,used_gold_joins,used_predicted_tables_cols,used_predicted_tables_cols_raw,model,examples_used,predicted_cte_briefs,raw_output,example_selection,timestamp
local002,"Can you calculate the 5-day symmetric moving average of predicted toy sales for December 5 to 8, 2018, using daily sales data from January 1, 2017, to August 29, 2018, with a simple linear regression model? Finally provide the sum of those four 5-day moving averages?",false,false,false,true,azure/o3,"local037,local017,local056,local194",toy_sales_source: joins sales tables; filters English category 'toys'; keeps purchase_date and price; daily_sales: aggregates total toy sales per calendar date 2017-01-01 to 2018-08-29; regression_params: calculates least-squares slope and intercept for daily sales trend; prediction_dates: creates date series 2018-12-03 through 2018-12-10 for forecasting; predicted_sales: applies regression formula to prediction_dates to estimate daily toy sales; moving_avg: computes symmetric 5-day moving average for Dec 5-8 predictions; final_total: sums the four moving average values into single figure,toy_sales_source: joins sales tables; filters English category 'toys'; keeps purchase_date and price; daily_sales: aggregates total toy sales per calendar date 2017-01-01 to 2018-08-29; regression_params: calculates least-squares slope and intercept for daily sales trend; prediction_dates: creates date series 2018-12-03 through 2018-12-10 for forecasting; predicted_sales: applies regression formula to prediction_dates to estimate daily toy sales; moving_avg: computes symmetric 5-day moving average for Dec 5-8 predictions; final_total: sums the four moving average values into single figure,"{""target_db"": ""E_commerce"", ""candidates_total"": 42, ""same_db_total"": 1, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local037,local017,local056,local194""}",2025-10-17T16:17:21
local003,"According to the RFM definition document, calculate the average sales per order for each customer within distinct RFM segments, considering only 'delivered' orders. Use the customer unique identifier. Clearly define how to calculate Recency based on the latest purchase timestamp and specify the criteria for classifying RFM segments. The average sales should be computed as the total spend divided by the total number of orders. Please analyze and report the differences in average sales across the RFM segments",false,false,false,true,azure/o3,"local067,local070,local066,local010","delivered_order_totals: filters delivered orders, joins items, sums price per order, retains purchase timestamp and customer_unique_id; customer_rfm_metrics: aggregates per customer to recency_days, order_count, total_spend, avg_sales_per_order; rfm_thresholds: computes quartile boundaries for recency, frequency, monetary across all customers; customer_rfm_scores: assigns 1–4 score to each metric based on thresholds; rfm_segments: maps combined RFM scores into human-readable segment categories; segment_sales_analysis: calculates mean avg_sales_per_order per segment to reveal differences","delivered_order_totals: filters delivered orders, joins items, sums price per order, retains purchase timestamp and customer_unique_id; customer_rfm_metrics: aggregates per customer to recency_days, order_count, total_spend, avg_sales_per_order; rfm_thresholds: computes quartile boundaries for recency, frequency, monetary across all customers; customer_rfm_scores: assigns 1–4 score to each metric based on thresholds; rfm_segments: maps combined RFM scores into human-readable segment categories; segment_sales_analysis: calculates mean avg_sales_per_order per segment to reveal differences","{""target_db"": ""E_commerce"", ""candidates_total"": 41, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local067,local070,local066,local010""}",2025-10-17T16:17:41
local004,"Could you tell me the number of orders, average payment per order and customer lifespan in weeks of the 3 custumers with the highest average payment per order, where the lifespan is calculated by subtracting the earliest purchase date from the latest purchase date in days, dividing by seven, and if the result is less than seven days, setting it to 1.0?",false,false,false,true,azure/o3,"local037,local026,local003,local064","order_pay_totals: sums payment_value per order_id; customer_agg: joins orders to pay totals, returns order_count, total_payment, first_purchase, last_purchase per customer; customer_metrics: computes avg_payment and lifespan_weeks (min 1) from aggregates; top_customers: selects three customers with highest avg_payment including required metrics","order_pay_totals: sums payment_value per order_id; customer_agg: joins orders to pay totals, returns order_count, total_payment, first_purchase, last_purchase per customer; customer_metrics: computes avg_payment and lifespan_weeks (min 1) from aggregates; top_customers: selects three customers with highest avg_payment including required metrics","{""target_db"": ""E_commerce"", ""candidates_total"": 42, ""same_db_total"": 1, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local037,local026,local003,local064""}",2025-10-17T16:17:53
local007,"Could you help me calculate the average single career span value in years for all baseball players? Please precise the result as a float number. First, calculate the difference in years, months, and days between the debut and final game dates. For each player, the career span is computed as the sum of the absolute number of years, plus the absolute number of months divided by 12, plus the absolute number of days divided by 365. Round each part to two decimal places before summing. Finally, average the career spans and round the result to a float number.",false,false,false,true,azure/o3,"local329,local253,local075,local229","valid_players: filters players with non-null debut and final_game; career_components: computes absolute year, month, day differences per player; player_spans: rounds components to two decimals, converts months and days to fractions, sums to career_span; avg_career_span: averages career_span across all players as float","valid_players: filters players with non-null debut and final_game; career_components: computes absolute year, month, day differences per player; player_spans: rounds components to two decimals, converts months and days to fractions, sums to career_span; avg_career_span: averages career_span across all players as float","{""target_db"": ""Baseball"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local329,local253,local075,local229""}",2025-10-17T16:18:01
local008,"I would like to know the given names of baseball players who have achieved the highest value of games played, runs, hits, and home runs, with their corresponding score values.",false,false,false,true,azure/o3,"local201,local264,local301,local060","career_totals: sums g, r, h, hr per player across all seasons; max_values: finds maximum career total for each stat; stat_leaders: selects player totals matching each stat’s maximum; leader_names: adds name_given to stat_leaders for final output","career_totals: sums g, r, h, hr per player across all seasons; max_values: finds maximum career total for each stat; stat_leaders: selects player totals matching each stat’s maximum; leader_names: adds name_given to stat_leaders for final output","{""target_db"": ""Baseball"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local201,local264,local301,local060""}",2025-10-17T16:18:12
local009,What is the distance of the longest route where Abakan is either the departure or destination city (in kilometers)?,false,false,false,true,azure/o3,"local199,local201,local157,local078",abakan_airports: selects airport_code with parsed latitude and longitude for Abakan; flights_with_coords: adds departure and arrival lat/lon by joining airports_data twice; abakan_routes: keeps flights where either endpoint airport_code matches Abakan; route_distances: computes great-circle distance between endpoints in kilometers; max_distance: returns maximum distance among Abakan routes,abakan_airports: selects airport_code with parsed latitude and longitude for Abakan; flights_with_coords: adds departure and arrival lat/lon by joining airports_data twice; abakan_routes: keeps flights where either endpoint airport_code matches Abakan; route_distances: computes great-circle distance between endpoints in kilometers; max_distance: returns maximum distance among Abakan routes,"{""target_db"": ""Airlines"", ""candidates_total"": 42, ""same_db_total"": 1, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local199,local201,local157,local078""}",2025-10-17T16:18:20
local010,"Distribute all the unique city pairs into the distance ranges 0, 1000, 2000, 3000, 4000, 5000, and 6000+, based on their average distance of all routes between them. Then how many pairs are there in the distance range with the fewest unique city paires?",false,false,false,true,azure/o3,"local310,local023,local130,local074","airport_city_map: maps airport codes to city with extracted latitude and longitude; flight_distances: calculates great-circle distance per flight via joined departure and arrival coordinates; city_pair_averages: aggregates average distance for each unordered city pair; distance_buckets: bins city pairs into 0–1000,1000–2000,...,6000+ distance ranges; bucket_counts: counts distinct city pairs within each distance bucket; minimal_bucket_count: isolates minimum pair count across all buckets","airport_city_map: maps airport codes to city with extracted latitude and longitude; flight_distances: calculates great-circle distance per flight via joined departure and arrival coordinates; city_pair_averages: aggregates average distance for each unordered city pair; distance_buckets: bins city pairs into 0–1000,1000–2000,...,6000+ distance ranges; bucket_counts: counts distinct city pairs within each distance bucket; minimal_bucket_count: isolates minimum pair count across all buckets","{""target_db"": ""Airlines"", ""candidates_total"": 41, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local310,local023,local130,local074""}",2025-10-17T16:18:36
local015,"Please calculate the fatality rate for motorcycle collisions, separated by helmet usage. Specifically, calculate two percentages: 1) the percentage of motorcyclist fatalities in collisions where parties (drivers or passengers) were wearing helmets, and 2) the percentage of motorcyclist fatalities in collisions where parties were not wearing helmets. For each group, compute this by dividing the total number of motorcyclist fatalities by the total number of collisions involving that group. Use the parties table to determine helmet usage (from party_safety_equipment fields).",false,false,false,true,azure/o3,"local141,local059,local037,local228",motorcycle_collisions: selects case_id and motorcyclist_killed_count where motorcycle_collision is true; rider_helmet_usage: flags case_ids with any motorcycle party whose safety equipment fields include helmet; collision_helmet_status: joins collisions with helmet flags to label each case helmet or no_helmet; fatality_summary: counts collisions and sums motorcyclist fatalities per helmet label for rate calculation,motorcycle_collisions: selects case_id and motorcyclist_killed_count where motorcycle_collision is true; rider_helmet_usage: flags case_ids with any motorcycle party whose safety equipment fields include helmet; collision_helmet_status: joins collisions with helmet flags to label each case helmet or no_helmet; fatality_summary: counts collisions and sums motorcyclist fatalities per helmet label for rate calculation,"{""target_db"": ""California_Traffic_Collision"", ""candidates_total"": 41, ""same_db_total"": 1, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local141,local059,local037,local228""}",2025-10-17T16:18:48
local017,In which year were the two most common causes of traffic accidents different from those in other years?,false,false,false,true,azure/o3,"local157,local010,local199,local228",joined_collisions: joins collisions to case_ids to attach db_year with primary_collision_factor cause; yearly_cause_counts: aggregates accident counts per db_year and cause; top2_per_year: ranks causes within each year and keeps top two; overall_top2: derives two most frequent causes across all years; anomalous_years: selects years whose top-two causes differ from the overall top-two set,joined_collisions: joins collisions to case_ids to attach db_year with primary_collision_factor cause; yearly_cause_counts: aggregates accident counts per db_year and cause; top2_per_year: ranks causes within each year and keeps top two; overall_top2: derives two most frequent causes across all years; anomalous_years: selects years whose top-two causes differ from the overall top-two set,"{""target_db"": ""California_Traffic_Collision"", ""candidates_total"": 41, ""same_db_total"": 1, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local157,local010,local199,local228""}",2025-10-17T16:18:58
local018,"For the primary collision factor violation category that was the most common cause of traffic accidents in 2021, how many percentage points did its share of annual road incidents in 2021 decrease compared to its share in 2011?",false,false,false,true,azure/o3,"local329,local157,local301,local017",joined_collisions: join collisions with case_ids to attach db_year and category; category_yearly_counts: count collisions per db_year and category; category_yearly_share: compute percentage share per category-year; top_2021_category: select category with highest share in 2021; share_comparison: fetch shares for that category in 2011 and 2021 and difference,joined_collisions: join collisions with case_ids to attach db_year and category; category_yearly_counts: count collisions per db_year and category; category_yearly_share: compute percentage share per category-year; top_2021_category: select category with highest share in 2021; share_comparison: fetch shares for that category in 2011 and 2021 and difference,"{""target_db"": ""California_Traffic_Collision"", ""candidates_total"": 42, ""same_db_total"": 2, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local329,local157,local301,local017""}",2025-10-17T16:19:09
local019,"For the NXT title that had the shortest match (excluding titles with ""title change""), what were the names of the two wrestlers involved?",false,false,false,true,azure/o3,"local229,local310,local329,local253",nxt_matches: joins Matches with Belts where belt name contains 'NXT'; non_title_change: filters nxt_matches with title_change = false; min_duration: finds minimum match duration in non_title_change; shortest_match: selects non_title_change rows matching min_duration; wrestler_pairs: joins shortest_match to Wrestlers twice to retrieve winner and loser names,nxt_matches: joins Matches with Belts where belt name contains 'NXT'; non_title_change: filters nxt_matches with title_change = false; min_duration: finds minimum match duration in non_title_change; shortest_match: selects non_title_change rows matching min_duration; wrestler_pairs: joins shortest_match to Wrestlers twice to retrieve winner and loser names,"{""target_db"": ""WWE"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""false"", ""chosen_ids"": ""local229,local310,local329,local253""}",2025-10-17T16:19:21
local026,"Please help me identify the top 3 bowlers who, in the overs where the maximum runs were conceded in each match, gave up the highest number of runs in a single over across all matches. For each of these bowlers, provide the match in which they conceded these maximum runs. Only consider overs that had the most runs conceded within their respective matches, and among these, determine which bowlers conceded the most runs in a single over overall.",false,false,false,true,azure/o3,"local229,local228,local023,local024","delivery_runs: merges ball_by_ball, batsman_scored, extra_runs, totals runs per delivery, retains bowler and over identifiers; over_totals: sums delivery_runs to total runs conceded per match, innings, over, and bowler; match_over_max: computes maximum runs conceded in any over for each match; worst_overs: filters over_totals to overs equal to each match’s maximum, keeping bowler and run details; top_bowlers: ranks worst_overs by runs descending and selects top three bowlers with corresponding match identifiers","delivery_runs: merges ball_by_ball, batsman_scored, extra_runs, totals runs per delivery, retains bowler and over identifiers; over_totals: sums delivery_runs to total runs conceded per match, innings, over, and bowler; match_over_max: computes maximum runs conceded in any over for each match; worst_overs: filters over_totals to overs equal to each match’s maximum, keeping bowler and run details; top_bowlers: ranks worst_overs by runs descending and selects top three bowlers with corresponding match identifiers","{""target_db"": ""IPL"", ""candidates_total"": 41, ""same_db_total"": 5, ""used_same_db_pool"": ""true"", ""chosen_ids"": ""local229,local228,local023,local024""}",2025-10-17T16:19:42
