instance_id,user_query,used_gold_tables,used_gold_joins,used_predicted_tables_cols,used_predicted_tables_cols_raw,used_external_knowledge,model,examples_used,predicted_cte_briefs,raw_output,example_selection,timestamp
sf_bq029,"Get the average number of inventors per patent and the total count of patent publications in Canada (CA) for each 5-year period from 1960 to 2020, based on publication dates. Only include patents that have at least one inventor listed, and group results by 5-year intervals (1960-1964, 1965-1969, etc.).",false,false,true,true,false,azure/o3,,"filtered_ca_pubs: Canadian patent publications 1960-2020 with ≥1 inventor, keeping publication_number and publication_date; inventor_counts: Distinct inventor tally per publication from filtered_ca_pubs; period_buckets: Attach 5-year interval label to each record using publication_date; period_metrics: Aggregate by interval to compute publication count and average inventors per patent","filtered_ca_pubs: Canadian patent publications 1960-2020 with ≥1 inventor, keeping publication_number and publication_date; inventor_counts: Distinct inventor tally per publication from filtered_ca_pubs; period_buckets: Attach 5-year interval label to each record using publication_date; period_metrics: Aggregate by interval to compute publication count and average inventors per patent","{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:45:53
sf_bq026,"For the assignee who has been the most active in the patent category 'A61', I'd like to know the five patent jurisdictions code where they filed the most patents during their busiest year, separated by commas.",false,false,true,true,false,azure/o3,,"filtered_a61_patents: Filter publications with CPC beginning 'A61'; keep assignee, filing_date, country_code; yearly_counts: Count patents per assignee and filing year from filtered set; busiest_years: For each assignee, select year with maximum filings and its count; top_assignee: Retrieve assignee and year with highest overall filings; assignee_year_patents: Patents for that assignee during their busiest year; country_counts: Count patents by country_code within that subset, ordered by count desc; top_country_list: Concatenate top five country_codes into a comma-separated string","filtered_a61_patents: Filter publications with CPC beginning 'A61'; keep assignee, filing_date, country_code; yearly_counts: Count patents per assignee and filing year from filtered set; busiest_years: For each assignee, select year with maximum filings and its count; top_assignee: Retrieve assignee and year with highest overall filings; assignee_year_patents: Patents for that assignee during their busiest year; country_counts: Count patents by country_code within that subset, ordered by count desc; top_country_list: Concatenate top five country_codes into a comma-separated string","{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:46:10
sf_bq091,In which year did the assignee with the most applications in the patent category 'A61' file the most?,false,false,true,true,false,azure/o3,,category_a61: Filter publications where ipc LIKE 'A61%' to isolate relevant category; assignee_counts: Count applications per assignee within category_a61; top_assignee: Select assignee with highest application count; top_assignee_filings: All filings in category_a61 by top_assignee; yearly_counts: Count filings per year from top_assignee_filings; peak_year: Retrieve year with maximum filing count,category_a61: Filter publications where ipc LIKE 'A61%' to isolate relevant category; assignee_counts: Count applications per assignee within category_a61; top_assignee: Select assignee with highest application count; top_assignee_filings: All filings in category_a61 by top_assignee; yearly_counts: Count filings per year from top_assignee_filings; peak_year: Retrieve year with maximum filing count,"{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:46:31
sf_bq099,"For patent class A01B3, I want to analyze the information of the top 3 assignees based on the total number of applications. Please provide the following five pieces of information: the name of this assignee,  total number of applications, the year with the most applications, the number of applications in that year, and the country code with the most applications during that year.",false,false,true,true,false,azure/o3,,"cpc_filtered: Select publications in CPC A01B3 with filing_date, country_code, assignee identifier columns; assignee_totals: Aggregate cpc_filtered by assignee to count total applications; top_assignees: Select top 3 assignees ordered by total applications; yearly_counts: Count applications for each top assignee per filing year; peak_years: For each assignee, pick year with max applications and record its count; top_country: Within each assignee’s peak year, find country_code with highest applications","cpc_filtered: Select publications in CPC A01B3 with filing_date, country_code, assignee identifier columns; assignee_totals: Aggregate cpc_filtered by assignee to count total applications; top_assignees: Select top 3 assignees ordered by total applications; yearly_counts: Count applications for each top assignee per filing year; peak_years: For each assignee, pick year with max applications and record its count; top_country: Within each assignee’s peak year, find country_code with highest applications","{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:46:51
sf_bq033,"How many U.S. publications related to IoT (where the abstract includes the phrase 'internet of things') were filed each month from 2008 to 2022, including months with no filings?",false,false,true,true,false,azure/o3,,date_months: create sequence of all months from Jan 2008 to Dec 2022; iot_us_pubs: select US publications filed 2008-2022 where abstract ilike '%internet of things%'; monthly_pub_counts: count distinct application_number per YYYY-MM filing date from iot_us_pubs; monthly_totals: left join date_months with monthly_pub_counts to fill missing months with zero filings,date_months: create sequence of all months from Jan 2008 to Dec 2022; iot_us_pubs: select US publications filed 2008-2022 where abstract ilike '%internet of things%'; monthly_pub_counts: count distinct application_number per YYYY-MM filing date from iot_us_pubs; monthly_totals: left join date_months with monthly_pub_counts to fill missing months with zero filings,"{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:47:03
sf_bq209,"Can you calculate the number of utility patents that were granted in 2010 and have exactly one forward citation within a 10-year window following their application/filing date? For this analysis, forward citations should be counted as distinct citing application numbers that cited the patent within 10 years after the patent's own filing date.",false,false,true,true,false,azure/o3,,utility_patents_2010: Utility patents granted in 2010 with filing_date retained; forward_citations: Citing applications referencing 2010 utility patents within 10 years of their filing_date; citation_counts: Aggregate forward citations per patent counting distinct citing application_numbers; single_citation_patents: Select patents with exactly one forward citation; result_count: Total number of such patents,utility_patents_2010: Utility patents granted in 2010 with filing_date retained; forward_citations: Citing applications referencing 2010 utility patents within 10 years of their filing_date; citation_counts: Aggregate forward citations per patent counting distinct citing application_numbers; single_citation_patents: Select patents with exactly one forward citation; result_count: Total number of such patents,"{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:47:18
sf_bq027,"For patents granted between 2010 and 2018, provide the publication number of each patent and the number of backward citations it has received in the SEA category.",false,false,true,true,false,azure/o3,,"patents_in_range: Patents granted 2010-2018, returning publication_number; sea_citations: Citation rows with category 'SEA', each cited_pub_number; citation_totals: Count SEA citations per cited_pub_number; results: Join patents_in_range with citation_totals, output publication_number and citation_count","patents_in_range: Patents granted 2010-2018, returning publication_number; sea_citations: Citation rows with category 'SEA', each cited_pub_number; citation_totals: Count SEA citations per cited_pub_number; results: Join patents_in_range with citation_totals, output publication_number and citation_count","{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:47:35
sf_bq210,How many US B2 patents granted between 2008 and 2018 contain claims that do not include the word 'claim'?,false,false,true,true,false,azure/o3,,pubs_core: Select required columns from PATENTS.PUBLICATIONS; us_b2: Filter pubs_core to US country_code and B2 kind_code; grants_2008_2018: Limit us_b2 to grant_date 2008-01-01–2018-12-31; no_claim_term: Keep grants_2008_2018 where lower(claims_localized) lacks 'claim' word for final count,pubs_core: Select required columns from PATENTS.PUBLICATIONS; us_b2: Filter pubs_core to US country_code and B2 kind_code; grants_2008_2018: Limit us_b2 to grant_date 2008-01-01–2018-12-31; no_claim_term: Keep grants_2008_2018 where lower(claims_localized) lacks 'claim' word for final count,"{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:47:49
sf_bq211,"Among patents granted between 2010 and 2023 in CN, how many of them belong to families that have a total of over one distinct applications?",false,false,true,true,false,azure/o3,,granted_cn_2010_2023: CN publications granted between 2010-01-01 and 2023-12-31; family_app_counts: count distinct application_number per family across all publications; multi_app_families: filter families with application_count > 1; qualifying_patents: granted_cn_2010_2023 records whose family_id is in multi_app_families,granted_cn_2010_2023: CN publications granted between 2010-01-01 and 2023-12-31; family_app_counts: count distinct application_number per family across all publications; multi_app_families: filter families with application_count > 1; qualifying_patents: granted_cn_2010_2023 records whose family_id is in multi_app_families,"{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:48:01
sf_bq213,What is the most common 4-digit IPC code among US B2 utility patents granted from June to August in 2022?,false,false,true,true,true,azure/o3,,"filtered_us_b2_pubs: US utility patents with kind B2 granted 2022-06-01 to 2022-08-31; main_ipc_expanded: Unnest ipc array from filtered publications keeping first=true records; ipc4_counts: Aggregate by 4-digit ipc prefix counting distinct publications; top_ipc4: Select prefix with highest count, break ties alphabetically","filtered_us_b2_pubs: US utility patents with kind B2 granted 2022-06-01 to 2022-08-31; main_ipc_expanded: Unnest ipc array from filtered publications keeping first=true records; ipc4_counts: Aggregate by 4-digit ipc prefix counting distinct publications; top_ipc4: Select prefix with highest count, break ties alphabetically","{""target_db"": ""PATENTS"", ""candidates_total"": 42, ""same_db_total"": 0, ""used_same_db_pool"": ""true"", ""chosen_ids"": """"}",2025-10-29T18:48:16
