instance_id,user_query,model,examples_used,predicted_tables_and_columns,raw_output,predicted_tables_fq,predicted_columns_fq,example_selection,timestamp,flags,eval_tables_precision,eval_tables_recall,eval_tables_f1,eval_columns_precision,eval_columns_recall,eval_columns_f1
bq011,"How many distinct pseudo users had positive engagement time  in the 7-day period ending on January 7, 2021 at 23:59:59, but had no positive engagement time in the 2-day period ending on the same date (January 7, 2021 at 23:59:59) ?",azure/o3,"local056,local032,local264,local022",,,ga4.public.events_20210101;ga4.public.events_20210102;ga4.public.events_20210103;ga4.public.events_20210104;ga4.public.events_20210105;ga4.public.events_20210106;ga4.public.events_20210107,ga4.public.events_20210101.event_bundle_sequence_id;ga4.public.events_20210101.event_date;ga4.public.events_20210101.event_name;ga4.public.events_20210101.event_params;ga4.public.events_20210101.event_timestamp;ga4.public.events_20210101.event_value_in_usd;ga4.public.events_20210101.user_pseudo_id;ga4.public.events_20210102.event_bundle_sequence_id;ga4.public.events_20210102.event_date;ga4.public.events_20210102.event_name;ga4.public.events_20210102.event_params;ga4.public.events_20210102.event_timestamp;ga4.public.events_20210102.event_value_in_usd;ga4.public.events_20210102.user_pseudo_id;ga4.public.events_20210103.event_bundle_sequence_id;ga4.public.events_20210103.event_date;ga4.public.events_20210103.event_name;ga4.public.events_20210103.event_params;ga4.public.events_20210103.event_timestamp;ga4.public.events_20210103.event_value_in_usd;ga4.public.events_20210103.user_pseudo_id;ga4.public.events_20210104.event_bundle_sequence_id;ga4.public.events_20210104.event_date;ga4.public.events_20210104.event_name;ga4.public.events_20210104.event_params;ga4.public.events_20210104.event_timestamp;ga4.public.events_20210104.event_value_in_usd;ga4.public.events_20210104.user_pseudo_id;ga4.public.events_20210105.event_bundle_sequence_id;ga4.public.events_20210105.event_date;ga4.public.events_20210105.event_name;ga4.public.events_20210105.event_params;ga4.public.events_20210105.event_timestamp;ga4.public.events_20210105.event_value_in_usd;ga4.public.events_20210105.user_pseudo_id;ga4.public.events_20210106.event_bundle_sequence_id;ga4.public.events_20210106.event_date;ga4.public.events_20210106.event_name;ga4.public.events_20210106.event_params;ga4.public.events_20210106.event_timestamp;ga4.public.events_20210106.event_value_in_usd;ga4.public.events_20210106.user_pseudo_id;ga4.public.events_20210107.event_bundle_sequence_id;ga4.public.events_20210107.event_date;ga4.public.events_20210107.event_name;ga4.public.events_20210107.event_params;ga4.public.events_20210107.event_timestamp;ga4.public.events_20210107.event_value_in_usd;ga4.public.events_20210107.user_pseudo_id,"{""candidates_total"": 90, ""chosen_ids"": ""local056,local032,local264,local022""}",2025-10-30T21:39:30,used_precomputed:ga4,,,,,,
bq010,"Find the top-selling product among customers who bought 'Youtube Men’s Vintage Henley' in July 2017, excluding itself.",azure/o3,"local003,local028,local195,local059",,,ga360.ga360.ga_sessions_201707*,ga360.ga360.ga_sessions_201707*.channelGrouping;ga360.ga360.ga_sessions_201707*.date;ga360.ga360.ga_sessions_201707*.fullVisitorId;ga360.ga360.ga_sessions_201707*.hits;ga360.ga360.ga_sessions_201707*.totals;ga360.ga360.ga_sessions_201707*.visitNumber;ga360.ga360.ga_sessions_201707*.visitorId;ga360.ga360.ga_sessions_201707*.visitStartTime,"{""candidates_total"": 90, ""chosen_ids"": ""local003,local028,local195,local059""}",2025-10-30T21:40:05,used_precomputed:ga360,,,,,,
bq009,"Which traffic source has the highest total transaction revenue for the year 2017, and what is the difference in millions (rounded to two decimal places) between the highest and lowest monthly total transaction revenue for that traffic source?",azure/o3,"local309,local202,local209,local228",,,ga360.ga360.ga_sessions_201*,ga360.ga360.ga_sessions_201*.channelGrouping;ga360.ga360.ga_sessions_201*.date;ga360.ga360.ga_sessions_201*.totals;ga360.ga360.ga_sessions_201*.trafficSource,"{""candidates_total"": 90, ""chosen_ids"": ""local309,local202,local209,local228""}",2025-10-30T21:40:32,used_precomputed:ga360,,,,,,
bq001,"For each visitor who made at least one transaction in February 2017, how many days elapsed between the date of their first visit in February and the date of their first transaction in February, and on what type of device did they make that first transaction?",azure/o3,"local209,local021,local221,local004",,,GA360.PUBLIC.GA_SESSIONS_201*,GA360.PUBLIC.GA_SESSIONS_201*.date;GA360.PUBLIC.GA_SESSIONS_201*.device;GA360.PUBLIC.GA_SESSIONS_201*.fullVisitorId;GA360.PUBLIC.GA_SESSIONS_201*.totals;GA360.PUBLIC.GA_SESSIONS_201*.visitStartTime,"{""candidates_total"": 90, ""chosen_ids"": ""local209,local021,local221,local004""}",2025-10-30T21:41:15,used_precomputed:ga360,,,,,,
bq002,"During the first half of 2017,  focusing on hits product revenue, which traffic source generated the highest total product revenue, and what were the maximum daily, weekly, and monthly product revenues (in millions) for that top-performing source over this period?",azure/o3,"local049,local077,local018,local099",,,GA360.GA360.GA_SESSIONS_2017,GA360.GA360.GA_SESSIONS_2017.date;GA360.GA360.GA_SESSIONS_2017.hits;GA360.GA360.GA_SESSIONS_2017.totals;GA360.GA360.GA_SESSIONS_2017.trafficSource,"{""candidates_total"": 90, ""chosen_ids"": ""local049,local077,local018,local099""}",2025-10-30T21:41:39,used_precomputed:ga360,,,,,,
bq003,"Between April 1 and July 31 of 2017, using the hits product revenue data along with the totals transactions to classify sessions as purchase (transactions ≥ 1 and productRevenue not null) or non-purchase (transactions null and productRevenue null), compare the average pageviews per visitor for each group by month",azure/o3,"local194,local229,local037,local081",,,ga360.ga360.ga_sessions_201*,ga360.ga360.ga_sessions_201*.channelGrouping;ga360.ga360.ga_sessions_201*.date;ga360.ga360.ga_sessions_201*.fullVisitorId;ga360.ga360.ga_sessions_201*.hits;ga360.ga360.ga_sessions_201*.totals;ga360.ga360.ga_sessions_201*.visitId;ga360.ga360.ga_sessions_201*.visitNumber;ga360.ga360.ga_sessions_201*.visitStartTime,"{""candidates_total"": 90, ""chosen_ids"": ""local194,local229,local037,local081""}",2025-10-30T21:42:11,used_precomputed:ga360,,,,,,
bq004,"In July 2017, among all visitors who bought any YouTube-related product, which distinct product—excluding those containing ‘YouTube’ in the product name—had the highest total quantity purchased?",azure/o3,"local358,local008,local301,local055",,,ga360.ga360.ga_sessions_201707,ga360.ga360.ga_sessions_201707.date;ga360.ga360.ga_sessions_201707.fullVisitorId;ga360.ga360.ga_sessions_201707.hits;ga360.ga360.ga_sessions_201707.hits.product;ga360.ga360.ga_sessions_201707.hits.product.productName;ga360.ga360.ga_sessions_201707.hits.product.productQuantity;ga360.ga360.ga_sessions_201707.hits.product.productRevenue;ga360.ga360.ga_sessions_201707.visitorId,"{""candidates_total"": 90, ""chosen_ids"": ""local358,local008,local301,local055""}",2025-10-30T21:42:57,used_precomputed:ga360,,,,,,
bq008,"In January 2017, among visitors whose campaign name contains 'Data Share' and who accessed any page starting with '/home', which page did they most commonly visit next, and what is the maximum time (in seconds) they spent on the '/home' page before moving on?",azure/o3,"local309,local141,local023,local068",,,ga360.ga_sessions_201*,ga360.ga_sessions_201*.date;ga360.ga_sessions_201*.fullVisitorId;ga360.ga_sessions_201*.hits;ga360.ga_sessions_201*.trafficSource;ga360.ga_sessions_201*.visitStartTime,"{""candidates_total"": 90, ""chosen_ids"": ""local309,local141,local023,local068""}",2025-10-30T21:43:43,used_precomputed:ga360,,,,,,
bq269,"Between June 1, 2017, and July 31, 2017, consider only sessions that have non-null pageviews. Classify each session as ‘purchase’ if it has at least one transaction, or ‘non_purchase’ otherwise. For each month, sum each visitor’s total pageviews under each classification, then compute the average pageviews per visitor for both purchase and non-purchase groups in each month, and present the results side by side.",azure/o3,"local128,local099,local329,local056",,,ga360.ga360.ga_sessions_201706;ga360.ga360.ga_sessions_201707,ga360.ga360.ga_sessions_201706.date;ga360.ga360.ga_sessions_201706.fullVisitorId;ga360.ga360.ga_sessions_201706.totals.pageviews;ga360.ga360.ga_sessions_201706.totals.transactions;ga360.ga360.ga_sessions_201706.visitId;ga360.ga360.ga_sessions_201707.date;ga360.ga360.ga_sessions_201707.fullVisitorId;ga360.ga360.ga_sessions_201707.totals.pageviews;ga360.ga360.ga_sessions_201707.totals.transactions;ga360.ga360.ga_sessions_201707.visitId,"{""candidates_total"": 90, ""chosen_ids"": ""local128,local099,local329,local056""}",2025-10-30T21:44:02,used_precomputed:ga360,,,,,,
bq268,"Identify the longest number of days between the first visit and the last recorded event (either the last visit or the first transaction) for a user, where the last recorded event is associated with a mobile device. The last recorded event could either be the last visit or the first transaction, and you should focus on users whose last recorded event occurred on a mobile device.",azure/o3,"local244,local197,local193,local358",,,GA360.GA360.GA_SESSIONS_201*,GA360.GA360.GA_SESSIONS_201*.date;GA360.GA360.GA_SESSIONS_201*.device;GA360.GA360.GA_SESSIONS_201*.fullVisitorId;GA360.GA360.GA_SESSIONS_201*.totals;GA360.GA360.GA_SESSIONS_201*.userId;GA360.GA360.GA_SESSIONS_201*.visitNumber;GA360.GA360.GA_SESSIONS_201*.visitorId;GA360.GA360.GA_SESSIONS_201*.visitStartTime,"{""candidates_total"": 90, ""chosen_ids"": ""local244,local197,local193,local358""}",2025-10-30T21:44:36,used_precomputed:ga360,,,,,,
