instance_id,user_query,model,examples_used,predicted_tables_and_columns,raw_output,predicted_tables_fq,predicted_columns_fq,example_selection,timestamp,eval_tables_precision,eval_tables_recall,eval_tables_f1,eval_columns_precision,eval_columns_recall,eval_columns_f1
local002,"Can you calculate the 5-day symmetric moving average of predicted toy sales for December 5 to 8, 2018, using daily sales data from January 1, 2017, to August 29, 2018, with a simple linear regression model? Finally provide the sum of those four 5-day moving averages?",azure/o3,,,,order_items;orders;product_category_name_translation;products,order_items.order_id;order_items.order_item_id;order_items.price;order_items.product_id;orders.order_id;orders.order_purchase_timestamp;product_category_name_translation.product_category_name;product_category_name_translation.product_category_name_english;products.product_category_name;products.product_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:15:52,,,,,,
local003,"According to the RFM definition document, calculate the average sales per order for each customer within distinct RFM segments, considering only 'delivered' orders. Use the customer unique identifier. Clearly define how to calculate Recency based on the latest purchase timestamp and specify the criteria for classifying RFM segments. The average sales should be computed as the total spend divided by the total number of orders. Please analyze and report the differences in average sales across the RFM segments",azure/o3,,,,customers;order_items;orders,customers.customer_id;customers.customer_unique_id;order_items.order_id;order_items.price;orders.customer_id;orders.order_id;orders.order_purchase_timestamp;orders.order_status,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:16:32,,,,,,
local004,"Could you tell me the number of orders, average payment per order and customer lifespan in weeks of the 3 custumers with the highest average payment per order, where the lifespan is calculated by subtracting the earliest purchase date from the latest purchase date in days, dividing by seven, and if the result is less than seven days, setting it to 1.0?",azure/o3,,,,customers;order_payments;orders,customers.customer_id;customers.customer_unique_id;order_payments.order_id;order_payments.payment_value;orders.customer_id;orders.order_id;orders.order_purchase_timestamp,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:17:00,,,,,,
local007,"Could you help me calculate the average single career span value in years for all baseball players? Please precise the result as a float number. First, calculate the difference in years, months, and days between the debut and final game dates. For each player, the career span is computed as the sum of the absolute number of years, plus the absolute number of months divided by 12, plus the absolute number of days divided by 365. Round each part to two decimal places before summing. Finally, average the career spans and round the result to a float number.",azure/o3,,,,player,player.debut;player.final_game;player.player_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:18:09,,,,,,
local008,"I would like to know the given names of baseball players who have achieved the highest value of games played, runs, hits, and home runs, with their corresponding score values.",azure/o3,,,,batting;player,batting.g;batting.h;batting.hr;batting.player_id;batting.r;batting.year;player.name_first;player.name_given;player.name_last;player.player_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:19:17,,,,,,
local009,What is the distance of the longest route where Abakan is either the departure or destination city (in kilometers)?,azure/o3,,,,airports_data;flights,airports_data.airport_code;airports_data.city;airports_data.coordinates;flights.arrival_airport;flights.departure_airport,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:19:41,,,,,,
local010,"Distribute all the unique city pairs into the distance ranges 0, 1000, 2000, 3000, 4000, 5000, and 6000+, based on their average distance of all routes between them. Then how many pairs are there in the distance range with the fewest unique city paires?",azure/o3,,,,airports_data;flights,airports_data.airport_code;airports_data.city;airports_data.coordinates;flights.arrival_airport;flights.departure_airport,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:19:59,,,,,,
local015,"Please calculate the fatality rate for motorcycle collisions, separated by helmet usage. Specifically, calculate two percentages: 1) the percentage of motorcyclist fatalities in collisions where parties (drivers or passengers) were wearing helmets, and 2) the percentage of motorcyclist fatalities in collisions where parties were not wearing helmets. For each group, compute this by dividing the total number of motorcyclist fatalities by the total number of collisions involving that group. Use the parties table to determine helmet usage (from party_safety_equipment fields).",azure/o3,,,,case_ids;collisions;parties,case_ids.case_id;case_ids.db_year;collisions.case_id;collisions.motorcycle_collision;collisions.motorcyclist_killed_count;parties.case_id;parties.party_safety_equipment_1;parties.party_safety_equipment_2;parties.statewide_vehicle_type,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:20:32,,,,,,
local017,In which year were the two most common causes of traffic accidents different from those in other years?,azure/o3,,,,case_ids;collisions,case_ids.case_id;case_ids.db_year;collisions.case_id;collisions.collision_date;collisions.pcf_violation;collisions.pcf_violation_category;collisions.pcf_violation_code;collisions.primary_collision_factor,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:20:53,,,,,,
local018,"For the primary collision factor violation category that was the most common cause of traffic accidents in 2021, how many percentage points did its share of annual road incidents in 2021 decrease compared to its share in 2011?",azure/o3,,,,case_ids;collisions,case_ids.case_id;case_ids.db_year;collisions.case_id;collisions.pcf_violation_category,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:21:11,,,,,,
local019,"For the NXT title that had the shortest match (excluding titles with ""title change""), what were the names of the two wrestlers involved?",azure/o3,,,,Belts;Matches;Wrestlers,Belts.id;Belts.name;Matches.duration;Matches.loser_id;Matches.title_change;Matches.title_id;Matches.winner_id;Wrestlers.id;Wrestlers.name,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:21:52,,,,,,
