instance_id,user_query,model,examples_used,predicted_tables_and_columns,raw_output,predicted_tables_fq,predicted_columns_fq,example_selection,timestamp,flags,eval_tables_precision,eval_tables_recall,eval_tables_f1,eval_columns_precision,eval_columns_recall,eval_columns_f1
sf_bq029,"Get the average number of inventors per patent and the total count of patent publications in Canada (CA) for each 5-year period from 1960 to 2020, based on publication dates. Only include patents that have at least one inventor listed, and group results by 5-year intervals (1960-1964, 1965-1969, etc.).",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.inventor;PATENTS.PATENTS.PUBLICATIONS.publication_date;PATENTS.PATENTS.PUBLICATIONS.publication_number,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:25:21,used_precomputed:PATENTS,,,,,,
sf_bq026,"For the assignee who has been the most active in the patent category 'A61', I'd like to know the five patent jurisdictions code where they filed the most patents during their busiest year, separated by commas.",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.assignee;PATENTS.PATENTS.PUBLICATIONS.assignee_harmonized;PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.cpc;PATENTS.PATENTS.PUBLICATIONS.filing_date;PATENTS.PATENTS.PUBLICATIONS.publication_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:25:28,used_precomputed:PATENTS,,,,,,
sf_bq091,In which year did the assignee with the most applications in the patent category 'A61' file the most?,azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.application_number;PATENTS.PATENTS.PUBLICATIONS.assignee;PATENTS.PATENTS.PUBLICATIONS.assignee_harmonized;PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.filing_date;PATENTS.PATENTS.PUBLICATIONS.ipc;PATENTS.PATENTS.PUBLICATIONS.publication_date;PATENTS.PATENTS.PUBLICATIONS.publication_number,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:25:44,used_precomputed:PATENTS,,,,,,
sf_bq099,"For patent class A01B3, I want to analyze the information of the top 3 assignees based on the total number of applications. Please provide the following five pieces of information: the name of this assignee,  total number of applications, the year with the most applications, the number of applications in that year, and the country code with the most applications during that year.",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.application_number;PATENTS.PATENTS.PUBLICATIONS.application_number_formatted;PATENTS.PATENTS.PUBLICATIONS.assignee;PATENTS.PATENTS.PUBLICATIONS.assignee_harmonized;PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.cpc;PATENTS.PATENTS.PUBLICATIONS.filing_date;PATENTS.PATENTS.PUBLICATIONS.publication_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:25:54,used_precomputed:PATENTS,,,,,,
sf_bq033,"How many U.S. publications related to IoT (where the abstract includes the phrase 'internet of things') were filed each month from 2008 to 2022, including months with no filings?",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.abstract_localized;PATENTS.PATENTS.PUBLICATIONS.application_number;PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.filing_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:25:59,used_precomputed:PATENTS,,,,,,
sf_bq209,"Can you calculate the number of utility patents that were granted in 2010 and have exactly one forward citation within a 10-year window following their application/filing date? For this analysis, forward citations should be counted as distinct citing application numbers that cited the patent within 10 years after the patent's own filing date.",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.application_kind;PATENTS.PATENTS.PUBLICATIONS.application_number;PATENTS.PATENTS.PUBLICATIONS.citation;PATENTS.PATENTS.PUBLICATIONS.filing_date;PATENTS.PATENTS.PUBLICATIONS.grant_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:26:07,used_precomputed:PATENTS,,,,,,
sf_bq027,"For patents granted between 2010 and 2018, provide the publication number of each patent and the number of backward citations it has received in the SEA category.",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.citation;PATENTS.PATENTS.PUBLICATIONS.grant_date;PATENTS.PATENTS.PUBLICATIONS.publication_number,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:26:12,used_precomputed:PATENTS,,,,,,
sf_bq210,How many US B2 patents granted between 2008 and 2018 contain claims that do not include the word 'claim'?,azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.claims_localized;PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.grant_date;PATENTS.PATENTS.PUBLICATIONS.kind_code;PATENTS.PATENTS.PUBLICATIONS.publication_number,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:26:16,used_precomputed:PATENTS,,,,,,
sf_bq211,"Among patents granted between 2010 and 2023 in CN, how many of them belong to families that have a total of over one distinct applications?",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.application_number;PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.family_id;PATENTS.PATENTS.PUBLICATIONS.grant_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:26:22,used_precomputed:PATENTS,,,,,,
sf_bq213,What is the most common 4-digit IPC code among US B2 utility patents granted from June to August in 2022?,azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.application_kind;PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.grant_date;PATENTS.PATENTS.PUBLICATIONS.ipc;PATENTS.PATENTS.PUBLICATIONS.kind_code;PATENTS.PATENTS.PUBLICATIONS.publication_number,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:26:29,used_precomputed:PATENTS,,,,,,
sf_bq212,"For United States utility patents under the B2 classification granted between June and September of 2022, identify the most frequent 4-digit IPC code for each patent. Then, list the publication numbers and IPC4 codes of patents where this code appears 10 or more times.",azure/o3,,,,PATENTS.PATENTS.PUBLICATIONS,PATENTS.PATENTS.PUBLICATIONS.country_code;PATENTS.PATENTS.PUBLICATIONS.filing_date;PATENTS.PATENTS.PUBLICATIONS.grant_date;PATENTS.PATENTS.PUBLICATIONS.ipc;PATENTS.PATENTS.PUBLICATIONS.kind_code;PATENTS.PATENTS.PUBLICATIONS.publication_date;PATENTS.PATENTS.PUBLICATIONS.publication_number,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:26:35,used_precomputed:PATENTS,,,,,,
sf_bq214,"For United States utility patents under the B2 classification granted between 2010 and 2014, find the one with the most forward citations within a month of its filing date, and identify the most similar patent from the same filing year, regardless of its type.",azure/o3,,,,PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS,PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.citation;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.country_code;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.cpc;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.filing_date;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.grant_date;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.kind_code;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.publication_number;PATENTS_GOOGLE.PATENTS_GOOGLE.PUBLICATIONS.title_localized;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.abstract;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.cited_by;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.country;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.cpc;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.embedding_v1;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.publication_number;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.similar;PATENTS_GOOGLE.PATENTS_GOOGLE.ABS_AND_EMB.title,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-28T21:26:46,used_precomputed:PATENTS_GOOGLE,,,,,,
