instance_id,has_issues,table_count,column_count,sql_length,tables,columns,sql_preview
local003,True,7,9,2395,FrequencyScore; MonetaryScore; RFM; RecencyScore; customers; order_items; orders,RFM_Bucket; customer_id; customer_unique_id; last_purchase; order_id; order_purchase_timestamp; price; total_orders; total_spent,"WITH RecencyScore AS (
    SELECT customer_unique_id,
           MAX(order_purchase_timestamp) AS last_purchase,
           NTILE(5) OVER (ORDER BY MAX(order_purchase_timestamp) DESC) AS recency
    F..."
local007,True,1,3,452,player,INTEGER; debut; final_game,"SELECT 
    AVG(
        ROUND(ABS(CAST(strftime('%Y', final_game) AS INTEGER) - CAST(strftime('%Y', debut) AS INTEGER)), 2) +
        ROUND(ABS(CAST(strftime('%m', final_game) AS INTEGER) - CAST(strf..."
local010,True,5,16,1986,airports_data; avg_pair_distances; binned_pairs; city_pair_distances; flights,REAL; airport_code; arr.airport_code; arr.city; arr.coordinates; arr_city_en; avg_pair_distances; city; coordinates; dep.airport_code; dep.city; dep.coordinates; dep_city_en; distance_km; f.arrival_airport; f.departure_airport,"-- Execution Query for local010
-- Timestamp: 20250922_103948
-- Generated by SQL Agent

WITH city_pair_distances AS (
  SELECT
    json_extract(dep.city, '$.en') AS dep_city_en,
    json_extract(arr...."
local015,True,5,12,2149,collision_helmet_summary; collisions; helmet_stats; motorcycle_helmet_status; parties,c.case_id; c.motorcycle_collision; c.motorcyclist_killed_count; case_id; collision; final_helmet_status; motorcyclist_killed_count; p.case_id; p.party_safety_equipment_1; p.party_safety_equipment_2; percent_killed_helmet_used; total_collisions,"WITH motorcycle_helmet_status AS (
    -- Get all motorcycle collisions and their helmet usage status
    SELECT DISTINCT
        c.case_id,
        c.motorcyclist_killed_count,
        CASE 
        ..."
local017,True,8,17,1472,AnnualTotals; CategoryPercentages; CategoryTotals; RankedCategories; TopTwoCategories; UniqueYear; collisions; results,AnnualTotal; Category; CategoryPercentages; PercentageOfAnnualRoadIncidents; Year; at.AnnualTotal; at.Year; case_id; collision_date; ct.Category; ct.Subtotal; ct.Year; rc.Category; rc.PercentageOfAnnualRoadIncidents; rc.Rank; rc.Year; u.Year,"WITH AnnualTotals AS (
    SELECT 
        STRFTIME('%Y', collision_date) AS Year, 
        COUNT(case_id) AS AnnualTotal
    FROM 
        collisions
    GROUP BY 
        Year
),
CategoryTotals AS (..."
local021,False,6,25,1009,ball_by_ball; batsman_scored; player; qualified_strikers; striker_career_totals; striker_match_totals,FLOAT; bb.ball_id; bb.innings_no; bb.match_id; bb.over_id; bb.striker; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; innings_no; match_id; p.player_id; p.player_name; player_name; qs.striker; qs.striker_name; runs_scored; smt.striker; smt.total_runs_in_match; striker; striker_name; total_career_runs; total_runs_in_match,"WITH striker_match_totals AS (
    SELECT 
        bb.striker,
        p.player_name as striker_name,
        bb.match_id,
        SUM(bs.runs_scored) as total_runs_in_match
    FROM ball_by_ball bb
 ..."
local023,False,7,21,1103,ball_by_ball; batsman_scored; batting_averages; match; player; runs_scored; total_runs,FLOAT; b.batting_avg; b.player_id; bb.ball_id; bb.innings_no; bb.match_id; bb.over_id; bb.striker; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; match_id; num_matches; p.player_id; p.player_name; player_id; player_name; runs; total_runs,"WITH runs_scored AS (
    SELECT 
        bb.striker AS player_id,
        bb.match_id,
        bs.runs_scored AS runs
    FROM 
        ball_by_ball AS bb
    JOIN 
        batsman_scored AS bs ON bb..."
local024,True,6,25,1103,ball_by_ball; batsman_scored; country_averages; player; player_averages; player_match_runs,FLOAT; avg_runs_per_match; bb.ball_id; bb.innings_no; bb.match_id; bb.over_id; bb.striker; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; country_name; match_id; match_runs; p.country_name; p.player_id; pa.avg_runs_per_match; pa.player_id; player_id; players_count; runs_scored; striker; total_matches; total_runs,"WITH player_match_runs AS (
    SELECT 
        bb.striker as player_id,
        bb.match_id,
        SUM(bs.runs_scored) as match_runs
    FROM ball_by_ball bb
    JOIN batsman_scored bs ON bb.match_..."
local026,True,7,35,1274,ball_by_ball; batsman_scored; extra_runs; match_max_runs; max_runs_overs; over_runs; player,bb.ball_id; bb.bowler; bb.innings_no; bb.match_id; bb.over_id; bowler; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; er.ball_id; er.extra_runs; er.innings_no; er.match_id; er.over_id; extra_runs; innings_no; match_id; max_runs_in_match; mmr.match_id; mmr.max_runs_in_match; mro.bowler; mro.match_id; mro.total_runs_conceded; or1.bowler; or1.innings_no; or1.match_id; or1.over_id; or1.total_runs_conceded; over_id; p.player_id; p.player_name; runs_scored; total_runs_conceded,"WITH over_runs AS (
    SELECT 
        bb.match_id,
        bb.over_id,
        bb.innings_no,
        bb.bowler,
        COALESCE(SUM(bs.runs_scored), 0) + COALESCE(SUM(er.extra_runs), 0) as total_r..."
local032,False,8,18,2023,distinct_customers; distinct_orders; five_star_ratings; highest_profit; olist_customers; olist_order_items; olist_order_reviews; olist_orders,Description; Seller_ID; c.customer_id; c.customer_unique_id; customer_unique_id; freight_value; o.customer_id; o.order_id; o.order_status; oi.freight_value; oi.order_id; oi.price; oi.seller_id; order_id; r.order_id; r.review_score; seller_id; value,"WITH distinct_customers AS (
    SELECT 
        oi.seller_id,
        COUNT(DISTINCT c.customer_unique_id) as metric_value
    FROM olist_orders o
    JOIN olist_order_items oi ON o.order_id = oi.ord..."
local037,False,6,12,1039,olist_order_items; olist_order_payments; olist_products; payment_category; payment_counts; ranked_payments,Category_name; i.order_id; i.product_id; order_id; p.order_id; p.payment_type; payment_count; payment_counts; payment_type; pr.product_category_name; pr.product_id; product_category_name,"-- Execution Query for local037
-- Timestamp: 20250922_105109
-- Generated by SQL Agent

WITH payment_category AS (
    SELECT DISTINCT
        p.order_id,
        p.payment_type,
        pr.product_c..."
local056,False,5,13,918,customer; customer_avg_change; monthly_changes; monthly_sums; payment,amount; c.customer_id; c.first_name; c.last_name; cac.avg_monthly_change; cac.customer_id; customer_id; last_name; month_amount; monthly_sums; payment_date; prev_month_amount; year_month,"-- Execution Query for local056
-- Timestamp: 20250922_105040
-- Generated by SQL Agent

WITH monthly_sums AS (
    SELECT
        customer_id,
        strftime('%Y-%m', payment_date) AS year_month,
 ..."
