instance_id,database_name
bq001,bigquery-public-data.google_analytics_sample.bigquery-public-data.google_analytics_sample
bq002,bigquery-public-data.google_analytics_sample.bigquery-public-data.google_analytics_sample
bq003,bigquery-public-data.google_analytics_sample.bigquery-public-data.google_analytics_sample
bq004,bigquery-public-data.google_analytics_sample.bigquery-public-data.google_analytics_sample
bq006,bigquery-public-data.austin_311.bigquery-public-data.austin_311
bq008,bigquery-public-data.google_analytics_sample.bigquery-public-data.google_analytics_sample
bq009,bigquery-public-data.google_analytics_sample.bigquery-public-data.google_analytics_sample
bq010,bigquery-public-data.google_analytics_sample.bigquery-public-data.google_analytics_sample
bq011,bigquery-public-data.ga4_obfuscated_sample_ecommerce.bigquery-public-data.ga4_obfuscated_sample_ecommerce
bq015,bigquery-public-data.stackoverflow.bigquery-public-data.stackoverflow
bq018,bigquery-public-data.covid19_open_data.bigquery-public-data.covid19_open_data
bq019,bigquery-public-data.cms_synthetic_patient_data_omop.bigquery-public-data.cms_synthetic_patient_data_omop
bq021,bigquery-public-data.new_york.bigquery-public-data.new_york
bq022,bigquery-public-data.chicago_crime.bigquery-public-data.chicago_crime
bq023,bigquery-public-data.hud_zipcode_crosswalk.bigquery-public-data.hud_zipcode_crosswalk
bq024,bigquery-public-data.usfs_fia.bigquery-public-data.usfs_fia
bq025,bigquery-public-data.census_bureau_international.bigquery-public-data.census_bureau_international
bq030,bigquery-public-data.covid19_open_data.bigquery-public-data.covid19_open_data
bq031,bigquery-public-data.noaa_passive_bioacoustic.bigquery-public-data.noaa_passive_bioacoustic
bq032,bigquery-public-data.noaa_passive_bioacoustic.bigquery-public-data.noaa_passive_bioacoustic
bq034,bigquery-public-data.ghcn_d.bigquery-public-data.ghcn_d
bq035,bigquery-public-data.san_francisco.bigquery-public-data.san_francisco
bq038,bigquery-public-data.new_york.bigquery-public-data.new_york
bq039,bigquery-public-data.new_york_subway.bigquery-public-data.new_york_subway
bq040,bigquery-public-data.new_york_subway.bigquery-public-data.new_york_subway
bq041,bigquery-public-data.stackoverflow.bigquery-public-data.stackoverflow
bq042,bigquery-public-data.noaa_passive_bioacoustic.bigquery-public-data.noaa_passive_bioacoustic
bq045,bigquery-public-data.noaa_passive_bioacoustic.bigquery-public-data.noaa_passive_bioacoustic
bq046,isb-cgc.GDC_metadata.isb-cgc.GDC_metadata
bq047,bigquery-public-data.new_york.bigquery-public-data.new_york
