mem_id,instance_id,db,scope,sql_operations,table,column,data_type,nulls,rule
0,bq008,ga360,db,group by;aggregation,all,all,all,all,"ENSURE: group hits by fullVisitorId, visitId, page.pagePath, and type in the all_hits CTE, selecting MIN(hitNumber) AS hitNumber and MIN(time) AS time to capture each session’s first hit per page | CONTEXT: The hits table records multiple hits for the same pagePath and type per session; without grouping by all relevant keys and taking the earliest hit, later duplicates inflate duration calculations | WHEN_TO_CHECK: When defining the all_hits CTE for session-level page hit aggregation | EXAMPLE_USAGE: Correct: WITH all_hits AS ( SELECT s.fullVisitorId, s.visitId, h.page.pagePath AS home_page, h.type, MIN(h.hitNumber) AS hitNumber, MIN(h.time) AS time FROM sessions s JOIN hits h ON s.fullVisitorId = h.fullVisitorId AND s.visitId = h.visitId GROUP BY s.fullVisitorId, s.visitId, h.page.pagePath, h.type Incorrect (missing pagePath and type in GROUP BY, causing aggregated times across pages): … GROUP BY s.fullVisitorId, s.visitId"
1,bq008,ga360,db,window;filter,all,all,all,all,"VERIFY: filter out self‐transitions in next_page_stats by adding WHERE next_page <> home_page after computing LEAD/LAG | CONTEXT: Including transitions where next_page equals home_page produces zero-duration loops that skew max duration metrics | WHEN_TO_CHECK: When calculating next_page_stats for page-to-page duration analysis | EXAMPLE_USAGE: Correct: WITH next_page_stats AS ( SELECT home_page, next_page, next_time, next_time - time AS duration FROM ( SELECT home_page, LEAD(home_page) OVER (PARTITION BY fullVisitorId, visitId ORDER BY time) AS next_page, LEAD(time) OVER (PARTITION BY fullVisitorId, visitId ORDER BY time) AS next_time, time FROM all_hits t WHERE next_page <> home_page Incorrect (omitting the WHERE, so rows like home_page='/home' and next_page='/home' remain, yielding zero durations): …"
2,bq008,all,generic,group by;aggregation,events,events.event_time,date,all,"VERIFY: when summarizing events to derive first-occurrence metrics, use MIN on timestamp or sequence columns and group by all key dimensions to avoid later duplicates skewing time-based analyses | PRINCIPLE: Aggregation functions return extreme values; MIN yields the earliest event, MAX yields the latest. Using the wrong aggregation distorts subsequent duration calculations. | WHEN_TO_APPLY: Whenever grouping timestamped or ordered events before computing time differences | EXAMPLE_USAGE: Correct: SELECT session_id, page, MIN(event_time) AS first_event_time FROM events GROUP BY session_id, page; Incorrect (using MAX and then calculating next_event_time - event_time yields negative or zero values when events occur only once per page): SELECT session_id, page, MAX(event_time) AS first_event_time FROM events GROUP BY session_id, page;"
3,bq008,all,generic,window;filter,events,all,all,Yes,"ENSURE: apply filters on window-function outputs (LEAD, LAG) in an outer SELECT or wrapped subquery so the window calculations aren’t preemptively dropped by the WHERE clause | PRINCIPLE: The WHERE clause is applied after window functions are evaluated in the query lifecycle. Filtering on window results inside the same SELECT without nesting removes rows before window frames are computed. | WHEN_TO_APPLY: Whenever you compute comparisons or differences using LEAD, LAG, or other window functions and need to exclude certain results (e.g., self-transitions) | EXAMPLE_USAGE: Correct: WITH sequenced AS ( SELECT page, time, LEAD(page) OVER (PARTITION BY session_id ORDER BY time) AS next_page, LEAD(time) OVER (PARTITION BY session_id ORDER BY time) AS next_time FROM events SELECT * FROM sequenced WHERE next_page IS NOT NULL AND next_page <> page; Incorrect (trying to apply next_page <> page in the same SELECT that defines the window, which doesn’t filter correctly): SELECT page, time, LEAD(page) OVER (PARTITION BY session_id ORDER BY time) AS next_page, LEAD(time) OVER (PARTITION BY session_id ORDER BY time) AS next_time FROM events WHERE next_page <> page;"
4,bq008,all,generic,filter;where;date;wildcard,all,all,date;timestamp,all,"ENSURE: When filtering, selecting, or aggregating dates on databases with date-partitioned wildcard tables (e.g., events_*, ga_sessions_*, gsod*), use wildcard table selection with _TABLE_SUFFIX for date filtering instead of manually filtering on potentially unclean column data | PRINCIPLE: _TABLE_SUFFIX filtering is evaluated before query execution, making it more efficient and reliable than filtering on date columns which may have NULL, malformed, or inconsistent values; it also leverages BigQuery's table pruning for better performance | WHEN_TO_APPLY: When querying tables with naming patterns like table_YYYYMMDD, table_YYYY, or table_* where dates are encoded in table names | EXAMPLE_USAGE: Correct: FROM `dataset.events_*` WHERE _TABLE_SUFFIX BETWEEN '20201101' AND '20201130'; Less efficient/reliable: FROM `dataset.events_*` WHERE DATE(event_date) BETWEEN '2020-11-01' AND '2020-11-30'. Use _TABLE_SUFFIX to constrain the table scan first, then apply additional date filters on columns if needed."
5,bq008,ga360,question,NA,NA,NA,NA,NA,Grouping hits to the first occurrence of each page per session and filtering out transitions back to the same page corrected the maximum time calculation to 2848.473 seconds.
6,bq022,chicago,db,filter;where;between,filtered_trips,filtered_trips.trip_seconds,int,all,"ENSURE: Use trip_seconds BETWEEN 0 AND 3600 in the filtered_trips WHERE clause | CONTEXT: filtered_trips CTE filters taxi trips by duration using the trip_seconds column; previous logic using ROUND(trip_seconds/60.0) < 60 excluded trips at boundary and added complexity | WHEN_TO_CHECK: When filtering trips for durations up to one hour in filtered_trips CTE | EXAMPLE_USAGE: Correct: WITH filtered_trips AS ( SELECT trip_seconds, unique_key FROM trips WHERE trip_seconds BETWEEN 0 AND 3600 Incorrect: WITH filtered_trips AS ( SELECT trip_seconds, unique_key FROM trips WHERE trip_seconds > 0 AND ROUND(trip_seconds/60.0) < 60"
7,bq022,chicago,db,window;ntile;over;order by,trips_sextile,all,all,all,"ENSURE: NTILE(6) window function orders by trip_seconds and unique_key for deterministic sextile assignment | CONTEXT: trips_sextile CTE computes sextiles on filtered_trips; ordering by only duration_minutes leads to grouping imprecision and nondeterministic bins when durations tie | WHEN_TO_CHECK: When computing NTILE or other quantile-based window functions in trips_sextile CTE | EXAMPLE_USAGE: Correct: SELECT NTILE(6) OVER (ORDER BY trip_seconds, unique_key) AS sextile FROM filtered_trips; Incorrect: SELECT NTILE(6) OVER (ORDER BY duration_minutes) AS sextile FROM filtered_trips;"
8,bq022,all,generic,filter;where;between,all,all,numeric,all,VERIFY: Filtering numeric ranges should use raw column values with BETWEEN rather than rounded or derived values | PRINCIPLE: Direct range filters on raw numeric columns avoid boundary errors and unintended exclusions caused by rounding or casting functions | WHEN_TO_APPLY: Whenever filtering rows by numeric thresholds | EXAMPLE_USAGE: Incorrect: WHERE ROUND(duration_ms/1000.0) < 60 Correct:   WHERE duration_ms BETWEEN 0 AND 60000
9,bq022,all,generic,window;over;order by,all,all,all,all,"ENSURE: Include a unique tie-breaker column in window function ORDER BY clauses to guarantee deterministic results | PRINCIPLE: Window functions like NTILE, ROW_NUMBER, and RANK require fully deterministic ordering; identical sort keys must be disambiguated by a unique identifier to avoid inconsistent assignments | WHEN_TO_APPLY: Whenever using ORDER BY in window functions for ranking, quantiles, or pagination | EXAMPLE_USAGE: Incorrect: NTILE(4) OVER (ORDER BY score) Correct:   NTILE(4) OVER (ORDER BY score, player_id)"
