mem_id,instance_id,db,scope,sql_operations,table,column,data_type,nulls,rule
0,sf_bq028,DEPS_DEV_V1,generic,window;row_number;partition by;order by;desc;filter,all,all,all,all,"VERIFY: use ROW_NUMBER() or similar window functions to identify latest or unique entries per group when tables contain history or versions | PRINCIPLE: Without window functions, queries may return duplicate or outdated records instead of the latest | WHEN_TO_APPLY: Whenever source tables record history or multiple versions, and only the latest/current is needed | EXAMPLE_USAGE: When selecting latest entries: 'SELECT *, ROW_NUMBER() OVER (PARTITION BY id ORDER BY date DESC) as rn WHERE rn=1' ensures only the newest per id; failing to use this will include outdated entries."
1,sf_bq028,DEPS_DEV_V1,generic,join,all,all,all,No,"ENSURE: JOIN conditions include all necessary keys (not just one) when tables relate on more than one column (e.g., match both name and version for package joins) | PRINCIPLE: Partial joins can incorrectly combine rows, causing mismatches or duplicates | WHEN_TO_APPLY: Whenever joining entities that need more than a single column for correct linkage | EXAMPLE_USAGE: Correct: 'ON a.id = b.id AND a.version = b.version'; Incorrect: 'ON a.id = b.id', which risks mixing two versions for the same id."
2,sf_bq028,DEPS_DEV_V1,generic,filter,all,all,all,No,"CHECK: relevant filters for system/type/source (like 'System='NPM'' or 'ProjectType='GITHUB'') are applied to restrict analysis to the target scope | PRINCIPLE: Failing to filter correctly causes blending of data from unrelated systems/contexts | WHEN_TO_APPLY: When working with datasets that store multiple system/type/source values | EXAMPLE_USAGE: Always add the correct WHERE clause (e.g., 'WHERE System='NPM''); omitting this will include packages or projects not intended for analysis."
3,sf_bq028,DEPS_DEV_V1,generic,limit,all,all,all,all,"VERIFY: query result is limited (using LIMIT or TOP) to expected row count when only top-N entities are required | PRINCIPLE: Appropriate row limiting ensures that only the most relevant/top entities are returned as per requirements | WHEN_TO_APPLY: Whenever a query requests a specific number of top items (packages, projects, etc.) based on ranking | EXAMPLE_USAGE: Use 'LIMIT 8' or 'TOP 8' to restrict output size; missing this can return entire result sets rather than the desired top entries."
4,sf_bq028,DEPS_DEV_V1,generic,order by;desc,all,all,all,No,"ENSURE: ORDER BY uses the actual popularity or ranking columns, not just name or arbitrary fields | PRINCIPLE: Sorting by the wrong column misrepresents the intended order(like popularity) | WHEN_TO_APPLY: When the goal is to return most popular/highest ranked entities | EXAMPLE_USAGE: Use 'ORDER BY popularity_column DESC'; using 'ORDER BY name' or leaving out ORDER BY will not produce ranked results."
5,sf_bq028,DEPS_DEV_V1,db,window;row_number;partition by;order by;desc;filter,PACKAGEVERSIONTOPROJECT,all,all,all,"ENSURE: when selecting latest npm package versions, use the HighestReleases CTE that applies ROW_NUMBER() OVER (PARTITION BY Name ORDER BY Ordinal DESC) and filters IsRelease=TRUE to identify the most recent released version per package | CONTEXT: PACKAGEVERSIONTOPROJECT table contains multiple versions per package; correct identification of the latest release requires using Ordinal and IsRelease | WHEN_TO_CHECK: When querying for the most up-to-date version of packages in LIBRARIES_IO.LIBRARIES_IO schema | EXAMPLE_USAGE: When filtering for the latest version, use: 'SELECT Name, Version FROM (SELECT *, ROW_NUMBER() OVER (PARTITION BY Name ORDER BY Ordinal DESC) as rn FROM PACKAGEVERSIONTOPROJECT WHERE IsRelease=TRUE) WHERE rn=1'. Omitting IsRelease=TRUE or ROW_NUMBER() may lead to outdated or non-release versions appearing as latest."
6,sf_bq028,DEPS_DEV_V1,db,join,PACKAGEVERSIONTOPROJECT,all,all,No,"VERIFY: when joining PACKAGEVERSIONTOPROJECT to HighestReleases, match on both Name and Version to ensure only genuine latest released versions are included | CONTEXT: PACKAGEVERSIONTOPROJECT has multiple entries per Name; joining just on Name without Version could mix versions improperly | WHEN_TO_CHECK: When combining package and version details to get latest release data | EXAMPLE_USAGE: Correct: 'ON PVP.Name = HR.Name AND PVP.Version = HR.Version'; Incorrect: 'ON PVP.Name = HR.Name'."
7,sf_bq028,DEPS_DEV_V1,db,join;filter,PROJECTS,all,all,No,"ENSURE: when matching projects to repositories for Github stars, join PROJECTS on both ProjectType='GITHUB' and ProjectName/Name values | CONTEXT: PROJECTS table differentiates project types and names; filtering by ProjectType avoids mixing with non-Github sources | WHEN_TO_CHECK: When querying for Github-related popularity data | EXAMPLE_USAGE: Use 'WHERE PVP.ProjectType='GITHUB'' and join with 'ON PVP.ProjectName = PROJECTS.Name AND PROJECTS.Type='GITHUB'' to fetch only Github projects."
8,sf_bq028,DEPS_DEV_V1,db,filter,PACKAGEVERSIONTOPROJECT,all,all,No,VERIFY: filter PACKAGEVERSIONTOPROJECT rows to System='NPM' to exclude non-npm packages | CONTEXT: PACKAGEVERSIONTOPROJECT may contain other package systems alongside NPM | WHEN_TO_CHECK: When a query intends to analyze only npm packages | EXAMPLE_USAGE: Ensure the WHERE clause contains 'PVP.System='NPM''. Failing to add this will include irrelevant systems.
9,sf_bq028,DEPS_DEV_V1,db,order by;desc,PROJECTS,PROJECTS.StarsCount,int,No,ENSURE: order popularity results by PROJECTS.StarsCount DESC to correctly rank by Github popularity | CONTEXT: PROJECTS.StarsCount holds the relevant popularity metric | WHEN_TO_CHECK: When the goal is to rank packages/projects by popularity | EXAMPLE_USAGE: Use 'ORDER BY PROJECTS.StarsCount DESC' in the final SELECT stage.
