mem_id,instance_id,db,scope,sql_operations,table,column,data_type,nulls,rule
0,local004,E_commerce,db,division;cast,customers;orders;order_payments,order_payments.payment_value,numeric,all,"ENSURE: When computing AOV from integer-like aggregates, verify whether SQLite integer division is expected before forcing float math | CONTEXT: In this case, SUM(total_payment) / COUNT(order_id) matched gold behavior better than SUM(...) * 1.0 / COUNT(...) | WHEN_TO_CHECK: Any per-group average where numerator and denominator come from integer-valued aggregates | EXAMPLE_USAGE: Compare both formulations and keep the one matching expected output semantics."
1,local004,E_commerce,generic,aggregation;cast,all,all,numeric,all,"VERIFY: Output numeric type/precision matches evaluation expectations (integer-like vs decimal) | PRINCIPLE: Correct logic can still fail if output type/precision differs from target | WHEN_TO_APPLY: Any aggregate expression that may return float by default | EXAMPLE_USAGE: If expected values are integer-like, avoid unnecessary float promotion and apply explicit casting only when required."
2,local007,Baseball,db,strftime;cast;round,player,player.final_game;player.debut,date,all,"ENSURE: For year-span components in SQLite date arithmetic, prefer STRFTIME-based component extraction over julianday/365 approximations | CONTEXT: julianday-based decomposition introduced drift in career-span computations | WHEN_TO_CHECK: Date interval decomposition into year/month/day parts | EXAMPLE_USAGE: Use ABS(CAST(strftime('%Y', end) AS INTEGER) - CAST(strftime('%Y', start) AS INTEGER)) for the year component."
3,local007,Baseball,db,strftime;division;round,player,player.final_game;player.debut,numeric,all,"ENSURE: For fractional months, use month-component subtraction divided by 12.0 rather than julianday modulo heuristics | CONTEXT: (julianday diff % 365)/30.44 can misalign calendar month boundaries | WHEN_TO_CHECK: Converting month differences into fractional years | EXAMPLE_USAGE: Use ABS(CAST(strftime('%m', end) AS INTEGER) - CAST(strftime('%m', start) AS INTEGER)) / 12.0."
4,local007,Baseball,generic,strftime;date_diff,all,all,date,all,VERIFY: Calendar-aware date parts (year/month/day extraction) are preferred over average-day approximations when exact component semantics matter | PRINCIPLE: Average-day approximations introduce drift in boundary-sensitive calculations | WHEN_TO_APPLY: Date decomposition tasks and tenure/career-span style metrics | EXAMPLE_USAGE: Favor extracted components over raw day-count decomposition.
5,local007,Baseball,generic,division;round;strftime,all,all,numeric,all,ENSURE: Fractional-year formulas are internally consistent across components (year + month/12 + day/365) | PRINCIPLE: Mixing exact and approximate components can bias final averages | WHEN_TO_APPLY: Composite duration formulas | EXAMPLE_USAGE: Keep all component calculations aligned to the same calendar model.
6,local015,California_Traffic_Collision,db,filter;exists;subquery,collisions;parties,parties.party_safety_equipment_1;parties.party_safety_equipment_2,str,all,"ENSURE: When segmenting collisions by helmet usage, first restrict to cases with motorcycle-related safety-equipment evidence using EXISTS against parties | CONTEXT: Without this filter, unrelated cases contaminate helmet_not_used aggregates | WHEN_TO_CHECK: Collision-level classification derived from party-level attributes | EXAMPLE_USAGE: Add EXISTS (...) with party_safety_equipment LIKE '%motorcycle%' before computing helmet buckets."
7,local015,California_Traffic_Collision,generic,exists;filter,all,all,all,all,"VERIFY: If category assignment depends on a related table, enforce membership with EXISTS (or equivalent) before aggregation | PRINCIPLE: Aggregating before relational eligibility checks causes denominator pollution | WHEN_TO_APPLY: Any classification using attributes from a secondary table | EXAMPLE_USAGE: Apply eligibility EXISTS first, then compute category rates."
8,local037,Brazilian_E_Commerce,db,join;deduplication;aggregation,olist_order_payments;olist_order_items;olist_products,olist_order_payments.order_id,int,all,"ENSURE: In order-level payment analyses joined to item-level tables, deduplicate order-payment pairs before counting category-level totals | CONTEXT: One-to-many joins (orders -> items) can inflate payment counts if counted post-join | WHEN_TO_CHECK: Metrics that are logically order-level but computed after joining item-level records | EXAMPLE_USAGE: Build a DISTINCT order_id/payment_type/category relation in a CTE before GROUP BY."
9,local064,bank_sales_trading,db,aggregation;case;filter,customer_transactions,customer_transactions.txn_type,str,all,"ENSURE: Monthly net-balance logic must subtract both withdrawal and purchase txn types (not withdrawal alone) | CONTEXT: Omitting purchase undercounts outflows and shifts month-level balance comparisons | WHEN_TO_CHECK: Net balance formulas from mixed inflow/outflow transaction logs | EXAMPLE_USAGE: CASE WHEN txn_type='deposit' THEN +amt WHEN txn_type IN ('withdrawal','purchase') THEN -amt END."
10,local064,bank_sales_trading,db,cross join;left join;coalesce;aggregation,customer_transactions,customer_transactions.customer_id;customer_transactions.txn_date,all,Yes,"ENSURE: For complete customer-month summaries, materialize full customer x month keys, LEFT JOIN transactions, and COALESCE aggregates | CONTEXT: Direct GROUP BY on fact rows drops zero-activity months and biases downstream extremes | WHEN_TO_CHECK: Time-series summaries where missing periods must appear explicitly | EXAMPLE_USAGE: Generate month keys, CROSS JOIN customers, LEFT JOIN facts, then COALESCE(SUM(...),0)."
11,local075,bank_sales_trading,db,aggregation;exists;not exists;subquery,shopping_cart_events,shopping_cart_events.visit_id;shopping_cart_events.event_type,int,all,"ENSURE: Split added-to-cart events into purchased-vs-abandoned using visit-level EXISTS/NOT EXISTS purchase checks, not constants | CONTEXT: Hard-coded zeros or raw event_type counts miss the visit-level conversion condition | WHEN_TO_CHECK: Funnel splits where one event's status depends on whether a later event occurred in the same visit/session | EXAMPLE_USAGE: SUM(CASE WHEN add_to_cart AND EXISTS(purchase in same visit) THEN 1 END) and corresponding NOT EXISTS branch."
12,local157,bank_sales_trading,db,filter;order by;subquery;date_parsing,bitcoin_prices,bitcoin_prices.market_date;bitcoin_prices.volume,all,all,"ENSURE: Use normalized date keys (e.g., parsed YYYYMMDD integer/date) for previous-row lookups and ordering, not raw string dates | CONTEXT: Lexicographic date ordering can select wrong previous rows and corrupt daily-change metrics | WHEN_TO_CHECK: Correlated subqueries or window logic for previous/next date records | EXAMPLE_USAGE: Compare/order on parsed_date consistently in both predicates and ORDER BY."
13,local244,music,db,case;thresholds,Track,Track.Milliseconds,numeric,all,ENSURE: Duration bucket CASE thresholds must use the same unit as the source column and match intended boundaries exactly | CONTEXT: The source duration is in milliseconds; threshold unit mistakes silently misbucket rows | WHEN_TO_CHECK: Rule-based bucketization of numeric measurements | EXAMPLE_USAGE: Define short/medium/long using millisecond boundaries if the column is Milliseconds.
14,local244,music,db,aggregation;case;labels,Track;InvoiceLine,Track.Milliseconds;InvoiceLine.UnitPrice,numeric,all,"VERIFY: If category ranges are policy-defined, output boundary labels from rule constants rather than observed MIN/MAX per bucket | PRINCIPLE: Data-driven MIN/MAX describes sample extremes, not canonical bucket limits | WHEN_TO_APPLY: Reporting from/to labels for fixed-threshold categories | EXAMPLE_USAGE: Emit range labels via CASE on category constants while revenue remains aggregate over joined facts."
15,local264,stacking,db,filter;anti_join;top_per_group,model_score,model_score.model;model_score.score,str,all,"ENSURE: Exclude ensemble 'Stack' rows and compute best traditional model per (name,version,step) before counting L1_model frequency | CONTEXT: Counting all rows mixes candidate models and overstates category frequency | WHEN_TO_CHECK: 'Most frequent best model' style metrics | EXAMPLE_USAGE: Filter model <> 'Stack', select top score per partition, then aggregate winners."
16,local264,stacking,db,join,model_score;model,model_score.name;model_score.version,all,all,VERIFY: Use only validated key relationships in joins; avoid extra predicates (like step) unless proven part of the key relation for the target metric | PRINCIPLE: Overconstrained joins can drop valid winner rows and distort aggregate counts | WHEN_TO_APPLY: Enrichment joins after top-per-group selection | EXAMPLE_USAGE: Join on the minimal validated key set required by the metric's grain.
17,local004,E_commerce,db,aggregation;avg;sum;count;count distinct;cast,all,all,int,all,"ENSURE: When selecting AOV and ACL values, explicitly CAST them as INTEGER if the database stores them as floats but integer output is required | CONTEXT: The columns AOV and ACL in the relevant tables are stored as floats, but some reporting requirements demand integer results | WHEN_TO_CHECK: When outputting AOV or ACL from any table, especially for summary, report, or comparison queries; check if the requirement is to show whole numbers | EXAMPLE_USAGE: If the query calculates 'SELECT AVG(order_value) AS AOV', make sure to include 'CAST(AVG(order_value) AS INTEGER) AS AOV' in the final SELECT instead of just 'ROUND' or leaving the value as float. Returning '102.0' instead of '102' will fail strict integer match requirements."
18,local004,E_commerce,generic,cast;round,all,all,int,all,"VERIFY: Output data types match expected result types, especially when rounding or transforming numerical fields | PRINCIPLE: Conversion of float to integer should use an explicit CAST rather than ROUND to ensure type compliance, as ROUND may yield a float (e.g., 102.0), not an integer (e.g., 102) | WHEN_TO_APPLY: When reporting summary statistics or aggregated measures and the expected output format is integer, check the final SELECT for explicit integer casting | EXAMPLE_USAGE: To ensure exact integer output, use 'CAST(metric AS INTEGER)' in the SELECT clause. Using 'ROUND(metric, 0)' may result in '53.0' (float), which does not match '53' (integer) in strict result comparisons."
19,local004,E_commerce,db,aggregation;cast;round;avg,all,AOV,numeric,all,"ENSURE: when reporting average payment or order value using the 'AOV' calculation, CAST the result as INTEGER in the final SELECT to avoid decimal/trailing '.0' output | CONTEXT: Derived averages from order/payment data may result in float values, but output requirements in this database (as reflected by the GOLD) expect integer values (e.g., 7274 not 7274.0) | WHEN_TO_CHECK: When computing and presenting 'AOV' or similar average value columns using data from order/payment tables | EXAMPLE_USAGE: If the query computes AOV with 'AVG(payment_amount)', writing 'ROUND(AVG(payment_amount), 0)' will return '7274.0', while 'CAST(AVG(payment_amount) AS INTEGER)' or 'CAST(ROUND(AVG(payment_amount), 0) AS INTEGER)' will return '7274' as required—check that your SELECT clause applies the integer cast before returning."
20,local004,E_commerce,generic,aggregation;cast;round;avg,all,all,numeric,all,"ENSURE: Output numeric columns in the format (integer vs float) required by the expected result; use explicit CAST or FLOOR/ROUND as appropriate | PRINCIPLE: Even when numeric values are equivalent, differences in type/format (7274.0 vs 7274) can cause output mismatches; casting to the required type ensures alignment with expectations | WHEN_TO_APPLY: When result sets require integer output but aggregation or arithmetic naturally returns floats/decimals | EXAMPLE_USAGE: When 'SELECT AVG(amount) AS avg_amt' returns 6929.0 but the required answer is '6929', use 'CAST(AVG(amount) AS INTEGER)' in your SELECT clause; missing this can cause otherwise correct answers to fail automated checks due to formatting mismatches."
21,local007,Baseball,db,aggregation;avg;cast;round;strftime;where;filter,player,player.debut_date,date,all,"ENSURE: when calculating the career span between debut_date and last_match_date in the player table, extract year, month, and day directly using strftime and cast to integer before subtracting, rather than relying on julianday differences | CONTEXT: The player table contains date columns debut_date and last_match_date, and accurate computation of years, months, days between these columns depends on direct component extraction, not floating-point day differences | WHEN_TO_CHECK: Whenever measuring the span between debut and last match (e.g., for average career length or tenure analysis using player.debut_date and player.last_match_date) | EXAMPLE_USAGE: Correct: '(CAST(strftime('%Y', last_match_date) AS INTEGER) - CAST(strftime('%Y', debut_date) AS INTEGER))' for years; Incorrect: '(julianday(last_match_date) - julianday(debut_date))/365' leads to rounding errors and imprecise durations especially around leap years or partial years."
22,local007,Baseball,generic,aggregation;avg;cast;strftime;where;filter;subquery,all,all,date,all,"VERIFY: when calculating the span in years, months, or days between two dates, extract each date part with a function like strftime (or equivalent) and subtract, instead of dividing a day difference | PRINCIPLE: Dividing total day differences (e.g., using julianday) by 365 or 30 assumes uniform year/month lengths, which introduces inaccuracies; extracting and subtracting individual year/month/day parts preserves calendar correctness | WHEN_TO_APPLY: Whenever calculating elapsed time, such as career duration or age, reported in years, months, or days between two date columns | EXAMPLE_USAGE: Correct approach—calculate years with '(CAST(Year2 AS INT) - CAST(Year1 AS INT))'; incorrect approach—use '(julianday(Date2) - julianday(Date1))/365' or '(Date2 - Date1)/365', which can misrepresent intervals for most real-world cases due to leap years, differing month lengths, and non-integer durations."
